pts_id,name,basket,cst_source,boundary_basis
Atthasalini,Atthasālinī (Dhammasaṅgaṇī-aṭṭhakathā),abhidhamma,abh01a.att.txt,1:1 (CST file = PTS volume; colophon-confirmed)
Sammohavinodani,Sammohavinodanī (Vibhaṅga-aṭṭhakathā),abhidhamma,abh02a.att.txt,1:1 (CST file = PTS volume; colophon-confirmed)
Pancappakaranatthakatha,Pañcappakaraṇaṭṭhakathā (Dhātukathā…Paṭṭhāna comm.),abhidhamma,abh03a.att.txt,1:1 (CST file = PTS volume; colophon-confirmed)
Samantapasadika.V,Samantapāsādikā V (Mahāvagga-aṭṭhakathā),vinaya,vin02a2.att.txt,1:1 (CST file = PTS volume; colophon-confirmed)
Samantapasadika.VI,Samantapāsādikā VI (Cūḷavagga-aṭṭhakathā),vinaya,vin02a3.att.txt,1:1 (CST file = PTS volume; colophon-confirmed)
Samantapasadika.VII,Samantapāsādikā VII (Parivāra-aṭṭhakathā),vinaya,vin02a4.att.txt,1:1 (CST file = PTS volume; colophon-confirmed)
